"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B1","56436","72185","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B1","56436","72185","Estate Management","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Estate Management","5.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Housing Service Delivery","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","B2","47942","59535","Business Management and Improvement","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Business Management and Improvement","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Estate Planning","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Quality Surveying","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Project Management","7.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Decision Support","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Estate Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Performance Management","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Building","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Information Technology","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Media and Press","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Customer Services","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Quality Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Estate Management","28.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C1","35648","44268","Housing Service Delivery","15.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Estate Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Safety,Health,Environment&Fire","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Direct Military Support","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Quality Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Estate Planning","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Project Management","12.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Administrative Support","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Business Management and Improvement","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Estate Management","49.41","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","EnvironmentalManagementAssessm","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Decision Support","7","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Information Technology","3.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","C2","29258","36333","Housing Service Delivery","43.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Direct Military Support","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Business Risk Management","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Site Estate","6.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Housing Service Delivery","190.84","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Estate Management","98.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Decision Support","7.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Information Technology","4.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Business Management and Improvement","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Media and Press","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Administrative Support","6.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","D","23427","29092","Project Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Secretarial","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Media and Press","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Information Technology","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Decision Support","12.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Housing Service Delivery","146.69","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Commercial Operations","2.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Estate Management","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E1","18370","22124","Administrative Support","52.03","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E2","15623","18815","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","E2","15623","18815","Administrative Support","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00068937","Retired Offr 2","30136","36333","Housing Service Delivery","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","B1","56436","72185","Commercial Policy","4.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","B1","56436","72185","Commercial Operations","6.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","B2","47942","59535","Commercial Operations","17.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","B2","47942","59535","Commercial Policy","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C1","35648","44268","Commercial Policy","7.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C1","35648","44268","Estate Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C1","35648","44268","Commercial Operations","64.60","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C2","29258","36333","Commercial Operations","68.54","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C2","29258","36333","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","C2","29258","36333","Commercial Policy","2.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","D","23427","29092","Commercial Policy","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","D","23427","29092","Estate Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","D","23427","29092","Commercial Operations","54.99","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","E1","18370","22124","Administrative Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","E1","18370","22124","Commercial Operations","26.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026464","E2","15623","18815","Commercial Operations","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","B1","56436","72185","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","B1","56436","72185","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","B1","56436","72185","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","B2","47942","59535","Business Management and Improvement","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","C1","35648","44268","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","C1","35648","44268","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026677","D","23427","29092","Secretarial","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","B1","56436","72185","Knowledge Info Management","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","B1","56436","72185","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","B2","47942","59535","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Transaction Processing","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Knowledge Info Management","2.81","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C2","29258","36333","Knowledge Info Management","4.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C2","29258","36333","Audit and Assurance","5.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C2","29258","36333","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Knowledge Info Management","7.59","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Decision Support","3.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Consultancy","0.82","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Transaction Processing","4.01","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Secretarial","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Knowledge Info Management","4.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","Estate Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","Estate Management","5.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","EnvironmentalManagementAssessm","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","Business Management and Improvement","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","Legal","2.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B1","56436","72185","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","EnvironmentalManagementAssessm","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","WOME Production","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Estate Surveying","7.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Safety,Health,Environment&Fire","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Building Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Town & Country Planning","1.00","Planning"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Estate Advice","8.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Decision Support","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Business Management and Improvement","6.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Programme Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Knowledge Info Management","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","B2","47942","59535","Estate Management","21.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Quality Surveying","5.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Estate Advice","13.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Town & Country Planning","4.00","Planning"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Estate Surveying","47.70","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Recreation & Access","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Administrative Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Safety,Health,Environment&Fire","9.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Project Management","9.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Building Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Soft Facilities Management","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Sustainable Development","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","EnvironmentalManagementAssessm","6.45","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Performance Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Heritage","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Project Planning & Scheduling","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Safety Management","5.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Geospatial Analyst","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","WOME Production","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Legal","4.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Secretariat & Private Office","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Decision Support","7.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Business Risk Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Forestry","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Business Management and Improvement","7.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Contaminated Land","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Natural Environment","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","35648","44268","Estate Management","136.81","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Town & Country Planning","1.00","Planning"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Internal Communications","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Recreation & Access","2.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Safety Management","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Geospatial Analyst","6.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Civilian Trainers (Civ Trainer)","2.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Legal","3.60","Law"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Safety,Health,Environment&Fire","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Performance Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Security","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Project Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Business Management and Improvement","12.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Secretariat & Private Office","8.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Information Technology","2.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Building Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Estate Advice","9.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Estate Surveying","60.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Decision Support","12.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Forestry","5.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Knowledge Info Management","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Estate Management","185.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Quality Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Government Quality Assurance","3.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Contaminated Land","5.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","EnvironmentalManagementAssessm","7.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Natural Environment","8.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Heritage","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C2","29258","36333","Sustainable Development","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Information Technology","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Geospatial Analyst","25.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Estate Management","122.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Business Management and Improvement","6.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Secretarial","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Safety,Health,Environment&Fire","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Internal Communications","2.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Estate Advice","10.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Estate Surveying","11.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Administrative Support","10.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Transaction Processing","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Decision Support","11.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","EnvironmentalManagementAssessm","8.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Sustainable Development","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Contaminated Land","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Commercial Operations","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","D","23427","29092","Secretariat & Private Office","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Business Management and Improvement","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Decision Support","6.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Commercial Operations","2.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Geospatial Analyst","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Administrative Support","90.16","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Soft Facilities Management","11.81","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Estate Management","85.23","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Information Technology","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Estate Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Engineering & Technical Support","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Estate Advice","10.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","E1","18370","22124","Transaction Processing","4.00","Finance"
