"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162138","C2","29258","36333","Secretariat & Private Office","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","E1","18370","22124","Secretarial","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","B1","56436","72185","Secretariat & Private Office","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","B2","47942","59535","Business Management and Improvement","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Business Management and Improvement","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C1","35648","44268","Secretariat & Private Office","4","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Business Management and Improvement","3","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Civilian HR Partner","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","C2","29258","36333","Secretariat & Private Office","6","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Business Management and Improvement","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Administrative Support","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Secretariat & Private Office","7","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","D","23427","29092","Employee Representative","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","E1","18370","22124","Administrative Support","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","162157","E1","18370","22124","Secretariat & Private Office","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF2","37916","45090","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR7","33223","43252","Military","2","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR4","26405","33182","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR6","30013","36929","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR9","38600","46753","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","B2","47942","59535","Secretariat & Private Office","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","Steward","15083","22150","Soft Facilities Management","1","Property and asset management"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF4","67032","77617","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR2","17515","28940","Military","2","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF3","47760","57200","Military","2","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018042","OF3","47760","57200","Military","2","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018042","OF5","81310","89408","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018042","OF4","67032","77617","Military","1","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OF3","47760","57200","Military","26","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OF4","67032","77617","Military","18","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OF5","81310","89408","Military","4","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OF2","37916","45090","Military","10","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OF3","47760","57200","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","OR2","17515","28940","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C1","35648","44268","Secretariat & Private Office","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2 MSF","29258","36333","Direct Military Support","5","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C1 MSF","35648","44268","Science&Technology Management","1","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Administrative Support","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Business Management and Improvement","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Engineering & Technical Support","2","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Historical","2","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Information Technology","1","Information Technology"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Project Management","1","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","C2","29258","36333","Secretariat & Private Office","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Administrative Support","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Historical","4","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Information Technology","2","Information Technology"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Knowledge Info Management","1","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Photography","1","Communications"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","D","23427","29092","Secretariat & Private Office","4","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","E1","18370","22124","Administrative Support","3","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1018322","E1","18370","22124","Historical","3","Knowledge and Information Management (KIM)"
