EXAMPLES OF GPC EXPENDITURE,

Merchant Category Group/Code narrative,Examples of Expenditure

"Bars, restaurants and nightclubs",·         Small hotels provided by our Hotel provider are classed under this heading 
,"·         Meals/subsistence while on detached duty, military operations and training exercises "
Fireplace,·         Repairs to ovens in kitchens
Gifts/cards/novelty shops and video amusement game supply,·         Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.
,"·         Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan"
"Hobby, Toys and games",·         For schools educating Service children overseas
Florists,·         Wreaths for Military personnel killed while in Service 
,"·         Upkeep of the Defence estate, particularly military establishments"
Music shops and Bands/Orchestras,·         Musical instruments purchased for the various military bands and the Royal School of Music
Dry cleaning,"·         The procurement, rental and maintenance of washing machines  "
,·         The provision of laundry facilities for Military personnel
Jewellery,·         Maintenance of clocking-in machines at MOD establishments
,·         New location signs
,·         The provision of dog tags for military personnel 
,·         Warrant card holders for the MOD Police
,·         Kilt pins for school uniforms
Gym equipment,·         The purchase of physical training equipment for military gyms and schools
Arts and Craft Shops,·         Insignia for military band instruments
,·         Mock up models for military visits to schools 
,·         Military recruitment banners
Cinema trips,·         Hire of venues by the Army Presentation team 
,·         Leisure activity as part of the training for new junior soldiers
Tourist attractions and exhibits,·         Acquaint visits for potential recruits to the Royal Navy
,·         Costs related to the annual Navy Day
,·         Adventure training courses including hire of facilities and instruction
Cosmetics,·         Demineralised water for radar systems
,·         Air fresheners for waiting areas and toilets in Military Careers Offices
Leisure Activities/Recreation services,"·         Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams"
,·         Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams
,·         Coach hire for pre deployment training
,·         Diving courses for Army divers
Theatrical Producers,·         Ferry bookings
,·         Venues for MOD Recruiting Teams and Presentation Teams
,·         Army Officer training as part of cultural awareness
Bowling Alleys,·         Leisure activities/team building for junior soldiers as part of their Army training programme
Health and Beauty Spas,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category
Shoe Stores,·         Specialist boots on health grounds for Military staff
Pet stores/Food & Supply,·         Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs
Books and Periodicals,"·         Books and publications for our libraries and schools that are not available on contract e.g. second hand books, "
Beauty and Barber shops,·         Specialist Medical and trauma training
Speciality Cleaning/Polishing,"·         Industrial leak and spill management, industrial safety and plant maintenance products"
Tailor/Seamstress/Alters,"·         Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade"
,·         Mounting  of military medals on uniforms
Children/Infants wear stores,·         Some retailers in this category also supply adult clothing/products 
,·         Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows
,·         Equipment for battle field tests
,·         Items for our schools and sponsorship of sports clothing for local schools with military logos
Mens/Womens Clothing Stores,·         Specialist Outdoor Clothing e.g. adventure training clothing
,·         Purchase of items of uniform from specialist Suppliers
Advertising Services,"·         Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   "
,·         Sign making Services
,·         Exhibition displays
Commercial Photo/Art/Graph,·         Safety Sign making Services
Management/Consult/Public Relations Services,·         Specialist training providers
,·         Payments to Professional Bodies
Civic/Social/Fraternal Associations,·         Payments to Professional Bodies
,·         Payments to Local Councils
Statutory Bodies - Fines,·         Payments to the Police for advanced driving courses
Cable/Pay TV Services,·         Sky installations for MOD establishments and ships
Boat Dealers,·         Repairs to ships and boats
,·         Purchase of specialist paint for ships,,,,
Dentists/Orthodontists,·         Dental equipment for Military staff dental check ups,,,,
General Retail – Women’s Access/Speciality,·         Waterproof Clothing and products for Adventure training ,,,,
,·         Waterproof Clothing for Search and Rescue teams ,,,,
Timeshare,·         Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,,
Pkg Stores/Beer/Wine/Liquor,·         The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,,
Member Clubs/Sport/Rec/Golf,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,,
,·         Military training courses,,,,
,·         Adventure training courses including hire of facilities and instruction,,,,
Detective/Protective Agency,·         CCTV Equipment,,,,
,·         Threat Detection Equipment,,,,

MoD GPC TRANSPARENCY DATA FOR OCTOBER 2012,,,,,

UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC42090,10-Oct-12,Auto Rental                        ,Auto Rental                        ,"£2,689.66",42090
MODGPC42091,04-Oct-12,Auto Rental                        ,Auto Rental                        ,"£1,368.24",42091
MODGPC42092,01-Oct-12,Auto Rental                        ,Auto Rental                        ,"£1,241.05",42092
MODGPC42093,03-Oct-12,Auto Rental                        ,Auto Rental                        ,"£2,497.92",42093
MODGPC42094,01-Oct-12,Automotive Fuel                    , SERVICE STATIONS,"£3,057.60",42094
MODGPC42095,03-Oct-12,Automotive Fuel                    , SERVICE STATIONS,"£2,162.06",42095
MODGPC42096,10-Oct-12,Books and Periodicals              , BOOK STORES,"£1,444.44",42096
MODGPC42097,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£861.73,42097
MODGPC42098,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£861.73,42098
MODGPC42099,08-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£861.73,42099
MODGPC42100,01-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£884.86,42100
MODGPC42101,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£578.30,42101
MODGPC42102,08-Oct-12,Books and Periodicals              , BOOK STORES,£530.76,42102
MODGPC42103,04-Oct-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,£649.95,42103
MODGPC42104,01-Oct-12,Books and Periodicals              , BOOK STORES,"£1,359.36",42104
MODGPC42105,01-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£751.36,42105
MODGPC42106,09-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£554.38,42106
MODGPC42107,04-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£2,275.50",42107
MODGPC42108,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£888.06,42108
MODGPC42109,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£697.62,42109
MODGPC42110,02-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£648.02,42110
MODGPC42111,09-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£522.07,42111
MODGPC42112,10-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,385.99",42112
MODGPC42113,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£555.30,42113
