,,,As at 29 November 2012
,DARTMOOR FIRING NOTICE,,

DATE,OKEHAMPTON,WILLSWORTHY,MERRIVALE
Thu 29 Nov 12,DAY & NIGHT,NIL,NIL
Fri 30 Nov 12,NIL,NIL,NIL
Sat 01 Dec 12,NIL,NIL,NIL
Sun 02 Dec 12,NIL,NIL,NIL
Mon 03 Dec 12,NIL,DAY,NIL
Tue 04 Dec 12,NIL,NIL,DAY & NIGHT
Wed 05 Dec 12,NIL,NIL,DAY & NIGHT
Thu 06 Dec 12,NIL,NIL,DAY & NIGHT
Fri 07 Dec 12,NIL,NIL,DAY
Sat 08 Dec 12,NIL,DAY,NIL
Sun 09 Dec 12,NIL,NIL,NIL
Mon 10 Dec 12,NIL,NIL,NIL
Tue 11 Dec 12,DAY & NIGHT,DAY,NIL
Wed 12 Dec 12,DAY & NIGHT,NIL,NIL
Thu 13 Dec 12,DAY & NIGHT,NIL,NIL
Fri 14 Dec 12,DAY,NIL,NIL
Sat 15 Dec 12,NIL,NIL,NIL
Sun 16 Dec 12,NIL,NIL,NIL
Mon 17 Dec 12,NIL,NIL,NIL
Tue 18 Dec 12,NIL,NIL,NIL
Wed 19 Dec 12,NIL,NIL,NIL
Thu 20 Dec 12,NIL,NIL,NIL
Fri 21 Dec 12,NIL,NIL,NIL
Sat 22 Dec 12,NIL,NIL,NIL
Sun 23 Dec 12,NIL,NIL,NIL
Mon 24 Dec 12,NIL,NIL,NIL
Tue 25 Dec 12,NIL,NIL,NIL
Wed 26 Dec 12,NIL,NIL,NIL
Thu 27 Dec 12,NIL,NIL,NIL
Fri 28 Dec 12,NIL,NIL,NIL
Sat 29 Dec 12,NIL,NIL,NIL
Sun 30 Dec 12,NIL,NIL,NIL
Mon 31 Dec 12,NIL,NIL,NIL
Tue 01 Jan 13,NIL,NIL,NIL
Wed 02 Jan 13,NIL,NIL,NIL
Thu 03 Jan 13,NIL,NIL,NIL
Fri 04 Jan 13,NIL,NIL,NIL
Sat 05 Jan 13,NIL,NIL,NIL
Sun 06 Jan 13,NIL,NIL,NIL
Mon 07 Jan 13,NIL,DAY,NIL
Tue 08 Jan 13,NIL,NIL,DAY & NIGHT
Wed 09 Jan 13,NIL,DAY,DAY & NIGHT
Thu 10 Jan 13,NIL,DAY,DAY & NIGHT
Fri 11 Jan 13,NIL,NIL,DAY
Sat 12 Jan 13,NIL,NIL,NIL
Sun 13 Jan 13,NIL,NIL,NIL


"Warning signals, red flags by day and red lamps by night, indicate that live firing is taking place within the range boundaries, which are marked by red and white poles.  When warning signals are displayed do not cross the range boundary.  If the warning signals are not hoisted by 0900 (Apr-Sep) or 1000 (Oct - Mar) no live firing will take place that day and any bangs you hear will be blank cartridges or fireworks.  DAY firing is between sunrise and sunset.  NIGHT firing is between sunset and sunrise.  Flags are lowered as soon as live firing ceases.",,,

"For updates on the firing program ring Freephone 0800 458 4868
For further information on the Armed Forces' interests in Dartmoor, contact:
Commandant Dartmoor Training Area, Okehampton Camp, Okehampton EX20 1QP, 01837 657 210",,,

"DO NOT TOUCH ANY MILITARY DEBRIS - IT MAY BE DANGEROUS
NOTE LOCATION – INFORM COMMANDANT OR POLICE",,,
